,title_x,day_x,date,place_cd,place_x,race_no,race_type_x,distance_x,toban_1_x,toban_2_x,toban_3_x,toban_4_x,toban_5_x,toban_6_x,name_1_x,name_2_x,name_3_x,name_4_x,name_5_x,name_6_x,moter_no_1_x,moter_no_2_x,moter_no_3_x,moter_no_4_x,moter_no_5_x,moter_no_6_x,boat_no_1_x,boat_no_2_x,boat_no_3_x,boat_no_4_x,boat_no_5_x,boat_no_6_x,ET_1_x,ET_2_x,ET_3_x,ET_4_x,ET_5_x,ET_6_x,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,ST_1,ST_2,ST_3,ST_4,ST_5,ST_6,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,position_1,position_2,position_3,position_4,position_5,position_6,tkt_1t,tkt_1f1,tkt_1f2,tkt_2t,tkt_2f,tkt_w1,tkt_w2,tkt_w3,tkt_3t,tkt_3f,odds_1t,odds_1f1,odds_1f2,odds_2t,odds_2f,odds_w1,odds_w2,odds_w3,odds_3t,odds_3f,poprank_2t,poprank_2f,poprank_w1,poprank_w2,poprank_w3,poprank_3t,poprank_3f,win_method,wakunari,title_y,day_y,date_x,place_y,race_type_y,distance_y,deadline,toban_1_y,toban_2_y,toban_3_y,toban_4_y,toban_5_y,toban_6_y,name_1_y,name_2_y,name_3_y,name_4_y,name_5_y,name_6_y,area_1,area_2,area_3,area_4,area_5,area_6,class_1,class_2,class_3,class_4,class_5,class_6,age_1,age_2,age_3,age_4,age_5,age_6,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,glob_win_1,glob_win_2,glob_win_3,glob_win_4,glob_win_5,glob_win_6,glob_in2_1,glob_in2_2,glob_in2_3,glob_in2_4,glob_in2_5,glob_in2_6,loc_win_1,loc_win_2,loc_win_3,loc_win_4,loc_win_5,loc_win_6,loc_in2_1,loc_in2_2,loc_in2_3,loc_in2_4,loc_in2_5,loc_in2_6,moter_no_1_y,moter_no_2_y,moter_no_3_y,moter_no_4_y,moter_no_5_y,moter_no_6_y,moter_in2_1,moter_in2_2,moter_in2_3,moter_in2_4,moter_in2_5,moter_in2_6,boat_no_1_y,boat_no_2_y,boat_no_3_y,boat_no_4_y,boat_no_5_y,boat_no_6_y,boat_in2_1,boat_in2_2,boat_in2_3,boat_in2_4,boat_in2_5,boat_in2_6,date_y,ET_1_y,ET_2_y,ET_3_y,ET_4_y,ET_5_y,ET_6_y,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,EST_1,EST_2,EST_3,EST_4,EST_5,EST_6,ESC_1,ESC_2,ESC_3,ESC_4,ESC_5,ESC_6,wether,air_t,wind_d,wind_v,water_t,wave_h
90,GW三国ボートフェスタ,5,2021-05-04,10,三国,10,準優勝戦,1800,3833,3654,4210,4067,3814,3967,中辻博訓,武田光史,松村康太,永井源,金子貴志,鈴木茂高,44,70,13,21,22,47,58,56,18,45,66,44,6.84,6.77,6.91,6.81,6.81,6.92,1,2,3,4,5,6,0.04,0.08,0.11,0.15,0.14,0.16,107.9,109.6,,111.2,112.9,,1,2,5,3,4,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.0,1.0,1.0,2.0,1.3,1.4,1.8,2.3,4.6,3.1,1,1,2,3,4,1,2,逃げ,1,GW三国ボートフェスタ,5,2021-05-04,三国,準優勝戦,1800,13:33,3833,3654,4210,4067,3814,3967,中辻博訓,武田光史,松村康太,永井源,金子貴志,鈴木茂高,福井,福井,福井,愛知,福井,愛知,A1,A1,A1,A1,A2,B1,46,47,38,41,45,41,53,54,53,53,48,57,6.25,6.34,5.85,6.36,5.45,4.66,45.28,45.05,32.64,45.29,35.62,27.41,7.13,7.06,6.01,0.0,5.88,5.24,58.19,53.46,35.0,0.0,38.5,41.38,44,70,13,21,22,47,66.67,78.57,64.71,40.0,42.86,40.0,58,56,18,45,66,44,30.77,66.67,40.0,17.65,47.37,30.77,2021-5-4,6.84,6.77,6.91,6.81,6.81,6.92,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.03,0.02,0.07,0.05,0.09,0.12,1,2,3,4,5,6,晴,22.0,2,1.0,16.0,1.0
91,GW三国ボートフェスタ,5,2021-05-04,10,三国,12,準優勝戦,1800,4061,3946,4269,4381,3409,4664,萩原秀人,赤岩善生,杉山裕也,田路朋史,三好一,東口晃,16,37,28,67,69,15,40,26,67,11,47,70,6.81,6.86,6.77,6.76,6.81,6.86,1,2,3,4,5,6,0.19,0.15,0.15,0.17,0.12,0.14,107.4,109.1,110.2,,111.6,,1,2,3,5,4,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.1,1.0,1.0,1.8,1.3,1.1,1.1,2.1,2.9,1.8,1,1,2,1,4,1,1,逃げ,1,GW三国ボートフェスタ,5,2021-05-04,三国,準優勝戦,1800,14:50,4061,3946,4269,4381,3409,4664,萩原秀人,赤岩善生,杉山裕也,田路朋史,三好一,東口晃,福井,愛知,愛知,兵庫,福井,福井,A1,A1,A1,B1,B1,B1,41,45,35,36,51,37,55,54,54,52,55,54,7.22,7.31,6.59,5.87,4.38,3.69,57.72,54.82,47.22,42.86,26.45,15.0,7.53,8.49,6.5,5.04,5.05,4.42,57.8,67.92,60.0,30.43,33.14,24.42,16,37,28,67,69,15,44.44,25.0,15.38,40.0,33.33,52.0,40,26,67,11,47,70,71.43,20.0,42.86,23.53,31.25,25.0,2021-5-4,6.81,6.86,6.77,6.76,6.81,6.86,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.03,-0.01,-0.03,-0.01,0.19,0.12,1,2,3,4,5,6,晴,23.0,2,2.0,16.0,1.0
92,スポーツニッポンパール賞競走,5,2021-05-04,9,津,1,ツッキーレー,1800,4579,3905,3644,4681,4675,5128,中嶋健一郎,天野友和,矢橋成介,太田潮,井手良太,坪井爽佑,35,13,73,39,67,25,61,65,17,57,58,24,6.77,6.82,6.74,6.87,6.74,6.8,1,2,3,4,5,6,0.16,0.17,0.24,0.21,0.18,0.31,110.0,110.5,,113.7,112.3,,1,2,5,4,3,6,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.0,1.5,2.8,2.1,2.1,1.3,1.5,4.1,7.7,4.1,1,1,1,3,8,4,3,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,ツッキーレー,1800,10:30,4579,3905,3644,4681,4675,5128,中嶋健一,天野友和,矢橋成介,太田潮,井手良太,坪井爽佑,三重,愛知,三重,愛知,大阪,三重,A1,B1,B1,B1,B1,B2,31,43,48,30,33,24,52,52,59,57,52,56,6.49,5.18,4.61,4.33,4.51,2.17,53.33,27.05,23.77,20.56,25.93,4.29,6.33,4.76,3.96,4.56,4.07,1.8,46.26,22.22,15.03,22.22,25.93,3.33,35,13,73,39,67,25,36.91,30.57,37.5,27.27,33.56,39.87,61,65,17,57,58,24,36.76,35.2,36.09,29.32,36.09,34.82,2021-5-4,6.77,6.82,6.74,6.87,6.74,6.8,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.01,0.02,-0.06,-0.03,-0.02,0.08,1,2,3,4,5,6,晴,20.0,4,3.0,20.0,2.0
93,スポーツニッポンパール賞競走,5,2021-05-04,9,津,2,一般,1800,3392,3542,3852,4156,3823,4903,小森信雄,清水紀克,澤大介,浜野孝志,本部真吾,吉田凌太朗,37,28,70,31,47,34,38,56,37,15,20,21,6.77,6.77,6.8,6.89,6.82,6.81,1,2,3,4,5,6,0.22,0.26,0.19,0.18,0.16,0.18,109.9,,112.5,110.4,,112.6,1,6,3,2,5,4,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.6,1.4,1.2,4.1,4.1,1.3,2.5,2.5,11.2,3.8,1,3,1,3,3,1,1,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,一般,1800,10:57,3392,3542,3852,4156,3823,4903,小森信雄,清水紀克,澤大介,浜野孝志,本部真吾,吉田凌太,三重,愛知,三重,三重,三重,愛知,B1,B1,B1,A2,B1,B1,55,52,48,40,48,27,55,55,52,56,58,55,4.33,4.34,4.93,5.31,5.51,6.07,21.43,27.0,28.04,35.64,35.09,39.82,4.62,3.73,5.4,5.81,4.47,5.97,26.61,26.67,30.0,42.31,26.0,43.33,37,28,70,31,47,34,26.47,33.57,33.54,32.03,51.08,37.42,38,56,37,15,20,21,41.61,29.37,37.33,30.53,37.4,25.4,2021-5-4,6.77,6.77,6.8,6.89,6.82,6.81,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.01,-0.04,-0.04,0.22,0.25,0.15,1,2,3,4,5,6,晴,16.0,4,2.0,17.0,1.0
94,スポーツニッポンパール賞競走,5,2021-05-04,9,津,3,一般,1800,5089,4977,4920,4466,4181,4856,前田翔,馬野耀,桐村翔太,南佑典,花本夏樹,豊田健士郎,24,56,71,19,65,18,27,28,14,54,19,29,6.84,6.72,6.81,6.93,6.82,6.7,1,2,3,4,5,6,0.07,0.13,0.1,0.16,0.17,0.07,110.7,109.2,,113.9,,112.3,2,1,5,4,6,3,2,2,1,2-1,1-2,1-2,2-6,1-6,2-1-6,1-2-6,5.4,1.0,1.1,19.7,4.6,1.8,3.5,2.0,50.4,6.4,7,2,2,6,4,18,3,差し,1,スポーツニッポンパール賞競走,5,2021-05-04,津,一般,1800,11:24,5089,4977,4920,4466,4181,4856,前田翔,馬野耀,桐村翔太,南佑典,花本夏樹,豊田健士,愛知,大阪,大阪,三重,三重,三重,B1,B1,B2,A1,B1,A1,21,27,30,34,37,25,48,54,49,51,53,52,5.55,3.83,4.17,5.74,4.37,6.85,30.69,18.06,26.19,36.61,18.81,45.26,4.43,4.97,3.25,6.2,4.89,6.63,17.14,28.13,8.33,43.48,23.73,48.33,24,56,71,19,65,18,36.43,30.71,36.28,43.75,28.99,27.61,27,28,14,54,19,29,38.46,34.62,36.73,41.6,37.38,29.66,2021-5-4,6.84,6.72,6.81,6.93,6.82,6.7,-0.5,-0.5,-0.5,0.0,-0.5,-0.5,0.06,0.08,0.08,0.05,-0.05,0.13,1,2,3,4,5,6,晴,16.0,4,2.0,18.0,1.0
95,スポーツニッポンパール賞競走,5,2021-05-04,9,津,4,一般,1800,4467,4453,3848,4796,3842,4227,渡邉俊介,永田郁弥,川上聡介,春園功太,星野太郎,安達裕樹,30,58,50,40,43,27,32,69,64,22,16,31,6.71,6.82,6.82,6.82,6.8,6.71,1,2,3,4,5,6,0.05,0.15,0.12,0.18,0.17,0.2,108.7,111.7,111.8,,110.4,,1,3,4,6,2,5,1,1,5,1-5,1-5,1-5,1-2,2-5,1-5-2,1-2-5,1.4,1.0,3.0,6.0,7.7,2.3,3.0,5.1,27.1,8.9,2,4,3,5,9,13,5,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,一般,1800,11:52,4467,4453,3848,4796,3842,4227,渡邉俊介,永田郁弥,川上聡介,春園功太,星野太郎,安達裕樹,愛知,愛知,愛知,三重,三重,三重,B1,B1,B1,A2,B1,A1,34,33,43,29,44,38,50,53,56,52,52,52,5.08,4.33,4.8,5.85,5.75,6.31,32.71,22.45,24.14,40.91,42.52,39.22,5.97,4.02,4.73,6.68,5.57,6.7,42.11,26.19,26.03,51.39,38.02,48.29,30,58,50,40,43,27,32.84,30.67,31.15,29.6,46.56,27.46,32,69,64,22,16,31,31.58,30.83,36.72,31.85,33.85,40.5,2021-5-4,6.71,6.82,6.82,6.82,6.8,6.71,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.07,0.05,0.18,0.11,-0.01,0.02,1,2,3,4,5,6,晴,17.0,4,3.0,18.0,2.0
96,スポーツニッポンパール賞競走,5,2021-05-04,9,津,5,5ールドレー,1800,4754,4912,4270,3870,4431,3905,松尾充,中山将太,岸本雄貴,寺嶋雄,石塚裕介,天野友和,17,45,29,16,36,13,48,39,72,33,66,65,6.75,6.71,6.77,6.81,6.81,6.84,1,2,3,4,5,6,0.17,0.21,0.35,0.16,0.21,0.2,109.4,114.1,,110.7,112.8,,1,4,6,2,3,5,1,1,4,1-4,1-4,1-4,1-5,4-5,1-4-5,1-4-5,1.0,1.0,1.7,7.2,6.4,2.6,2.2,15.9,53.0,34.9,3,3,5,3,12,15,8,抜き,1,スポーツニッポンパール賞競走,5,2021-05-04,津,5ールドレー,1800,12:19,4754,4912,4270,3870,4431,3905,松尾充,中山将太,岸本雄貴,寺嶋雄,石塚裕介,天野友和,三重,福井,三重,福井,三重,愛知,A1,B1,B1,B1,B1,B1,32,25,39,45,35,43,52,53,58,51,52,52,5.47,5.72,4.74,4.77,5.37,5.18,37.8,37.84,29.17,26.61,32.73,27.05,6.29,4.91,4.44,5.0,5.7,4.76,44.9,34.38,20.69,23.33,37.4,22.22,17,45,29,16,36,13,51.41,37.1,33.52,34.04,34.36,30.57,48,39,72,33,66,65,30.66,39.44,38.46,40.71,42.11,35.2,2021-5-4,6.75,6.71,6.77,6.81,6.81,6.84,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.12,0.04,0.08,0.19,0.07,0.06,1,2,3,4,5,6,晴,17.0,4,3.0,18.0,2.0
97,スポーツニッポンパール賞競走,5,2021-05-04,9,津,6,一般,1800,4043,4310,3392,4824,4049,5137,桐本康臣,横家翔一,小森信雄,松井洪弥,荒川健太,川原涼,59,66,37,63,33,62,11,74,38,51,53,50,6.83,6.79,6.75,6.71,6.79,6.91,1,2,3,4,5,6,0.15,0.09,0.09,0.08,0.13,0.16,110.4,,109.1,113.6,112.1,,2,5,1,4,3,6,3,3,1,3-1,1-3,1-3,3-5,1-5,3-1-5,1-3-5,33.3,48.9,5.1,46.2,5.8,4.8,3.5,3.0,116.5,6.4,10,4,9,7,5,29,3,まくり差し,1,スポーツニッポンパール賞競走,5,2021-05-04,津,一般,1800,12:46,4043,4310,3392,4824,4049,5137,桐本康臣,横家翔一,小森信雄,松井洪弥,荒川健太,川原涼,三重,愛知,三重,三重,三重,愛知,A2,B1,B1,A2,A1,B2,41,37,55,28,40,21,54,59,55,52,54,52,6.25,3.55,4.33,5.64,5.98,1.48,44.44,14.49,21.43,35.4,39.57,0.0,6.28,3.78,4.62,5.57,6.47,1.13,47.41,15.0,26.61,35.0,48.13,0.0,59,66,37,63,33,62,34.62,26.52,26.47,34.06,44.7,30.0,11,74,38,51,53,50,36.03,31.2,41.61,42.03,39.85,34.92,2021-5-4,6.83,6.79,6.75,6.71,6.79,6.91,-0.5,-0.5,-0.5,1.0,-0.5,-0.5,0.07,0.15,-0.01,-0.05,-0.03,-0.07,1,2,3,4,5,6,晴,18.0,4,3.0,18.0,2.0
98,スポーツニッポンパール賞競走,5,2021-05-04,9,津,7,一般,1800,4340,4903,4681,4808,4623,4977,土性雅也,吉田凌太朗,太田潮,松尾拓,中北将史,馬野耀,68,34,39,72,41,56,67,21,57,71,62,28,6.8,6.8,6.83,6.82,6.85,6.76,1,2,3,4,5,6,0.07,0.14,0.11,0.09,0.21,0.19,109.8,,114.1,111.0,,112.3,1,5,4,2,6,3,1,1,4,1-4,1-4,1-4,1-6,4-6,1-4-6,1-4-6,1.1,1.0,1.0,2.4,1.7,1.3,3.3,3.2,15.8,10.1,1,1,2,5,4,4,4,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,一般,1800,13:14,4340,4903,4681,4808,4623,4977,土性雅也,吉田凌太,太田潮,松尾拓,中北将史,馬野耀,三重,愛知,愛知,三重,三重,大阪,A2,B1,B1,A1,A2,B1,36,27,30,32,36,27,54,55,57,50,52,54,5.46,6.07,4.33,6.4,4.24,3.83,34.15,39.82,20.56,41.67,18.7,18.06,5.97,5.97,4.56,6.56,5.14,4.97,38.54,43.33,22.22,48.59,30.61,28.13,68,34,39,72,41,56,35.61,37.42,27.27,35.62,31.34,30.71,67,21,57,71,62,28,44.35,25.4,29.32,32.35,29.55,34.62,2021-5-4,6.8,6.8,6.83,6.82,6.85,6.76,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.06,0.19,0.12,0.08,0.14,0.05,1,2,3,4,5,6,晴,18.0,4,3.0,18.0,2.0
99,スポーツニッポンパール賞競走,5,2021-05-04,9,津,8,一般,1800,4358,3823,4675,4344,4920,4834,松本庸平,本部真吾,井手良太,新田雄史,桐村翔太,浜本裕己,54,47,67,20,71,61,34,20,58,68,14,52,6.76,6.87,6.86,6.74,6.81,6.76,1,2,3,4,5,6,0.2,0.18,0.09,0.12,0.06,0.14,110.5,111.9,,113.7,115.3,,1,2,5,3,4,6,1,1,2,1-2,1-2,1-2,1-4,2-4,1-2-4,1-2-4,1.7,1.0,4.5,14.3,8.9,3.0,1.2,2.3,22.9,4.1,6,4,6,1,3,8,2,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,一般,1800,13:48,4358,3823,4675,4344,4920,4834,松本庸平,本部真吾,井手良太,新田雄史,桐村翔太,浜本裕己,三重,三重,大阪,三重,大阪,大阪,A2,B1,B1,A1,B2,B1,36,48,33,36,30,33,50,58,52,54,49,51,4.68,5.51,4.51,7.56,4.17,4.54,27.5,35.09,25.93,51.22,26.19,22.3,5.96,4.47,4.07,8.08,3.25,5.4,45.36,26.0,25.93,67.86,8.33,40.0,54,47,67,20,71,61,33.09,51.08,33.56,40.98,36.28,32.35,34,20,58,68,14,52,30.33,37.4,36.09,35.66,36.73,46.21,2021-5-4,6.76,6.87,6.86,6.74,6.81,6.76,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.04,0.01,0.1,-0.01,-0.01,0.05,1,2,3,4,5,6,晴,18.0,4,3.0,18.0,2.0
100,スポーツニッポンパール賞競走,5,2021-05-04,9,津,9,一般,1800,3712,3848,4066,3268,3870,3852,淺香文武,川上聡介,東本勝利,森竜也,寺嶋雄,澤大介,15,50,38,51,16,70,25,64,59,13,33,37,6.84,6.84,6.78,6.85,6.76,6.91,1,2,3,4,5,6,0.17,0.16,0.17,0.18,0.16,0.22,109.8,111.1,,,112.1,113.7,1,2,5,6,3,4,1,1,2,1-2,1-2,1-2,1-5,2-5,1-2-5,1-2-5,1.5,1.1,4.0,4.6,3.5,2.4,6.1,13.3,29.1,19.3,2,2,3,10,13,11,6,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,一般,1800,14:21,3712,3848,4066,3268,3870,3852,淺香文武,川上聡介,東本勝利,森竜也,寺嶋雄,澤大介,三重,愛知,三重,三重,福井,三重,A2,B1,A2,A2,B1,B1,46,43,41,55,45,48,55,56,55,53,51,52,5.53,4.8,5.85,5.65,4.77,4.93,39.0,24.14,40.0,40.16,26.61,28.04,5.77,4.73,7.02,6.06,5.0,5.4,41.54,26.03,55.64,42.51,23.33,30.0,15,50,38,51,16,70,34.18,31.15,44.72,34.78,34.04,33.54,25,64,59,13,33,37,29.03,36.72,31.62,33.63,40.71,37.33,2021-5-4,6.84,6.84,6.78,6.85,6.76,6.91,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.01,0.02,0.05,0.12,0.17,0.13,1,2,3,4,5,6,晴,19.0,4,2.0,18.0,1.0
101,スポーツニッポンパール賞競走,5,2021-05-04,9,津,10,準優勝戦,1800,4049,4856,4156,3644,4467,4043,荒川健太,豊田健士郎,浜野孝志,矢橋成介,渡邉俊介,桐本康臣,33,18,31,73,30,59,53,29,15,17,32,11,6.77,6.74,6.76,6.75,6.75,6.84,1,2,3,4,5,6,0.04,0.05,0.04,0.13,0.11,0.12,109.4,110.7,112.5,113.6,,,1,2,3,4,5,6,1,1,2,1-2,1-2,1-2,1-3,2-3,1-2-3,1-2-3,1.1,1.0,1.0,1.7,1.3,1.3,1.1,1.6,3.7,2.4,1,1,2,1,3,1,1,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,準優勝戦,1800,14:58,4049,4856,4156,3644,4467,4043,荒川健太,豊田健士,浜野孝志,矢橋成介,渡邉俊介,桐本康臣,三重,三重,三重,三重,愛知,三重,A1,A1,A2,B1,B1,A2,40,25,40,48,34,41,54,52,56,59,50,54,5.98,6.85,5.31,4.61,5.08,6.25,39.57,45.26,35.64,23.77,32.71,44.44,6.47,6.63,5.81,3.96,5.97,6.28,48.13,48.33,42.31,15.03,42.11,47.41,33,18,31,73,30,59,44.7,27.61,32.03,37.5,32.84,34.62,53,29,15,17,32,11,39.85,29.66,30.53,36.09,31.58,36.03,2021-5-4,6.77,6.74,6.76,6.75,6.75,6.84,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.02,0.02,0.22,-0.02,-0.08,0.04,1,2,3,4,5,6,晴,19.0,4,3.0,18.0,2.0
102,スポーツニッポンパール賞競走,5,2021-05-04,9,津,11,準優勝戦,1800,4227,3842,4824,4270,4912,5089,安達裕樹,星野太郎,松井洪弥,岸本雄貴,中山将太,前田翔,27,43,63,29,45,24,31,16,51,72,39,27,6.78,6.8,6.77,6.9,6.71,6.87,1,2,3,4,5,6,0.06,0.08,0.07,0.07,0.07,0.08,109.7,,110.3,112.1,,113.3,1,6,2,3,5,4,1,1,3,1-3,1-3,1-3,1-4,3-4,1-3-4,1-3-4,1.4,1.6,5.1,3.2,2.1,2.0,3.4,5.8,15.5,9.8,2,2,3,6,8,6,5,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,準優勝戦,1800,15:36,4227,3842,4824,4270,4912,5089,安達裕樹,星野太郎,松井洪弥,岸本雄貴,中山将太,前田翔,三重,三重,三重,三重,福井,愛知,A1,B1,A2,B1,B1,B1,38,44,28,39,25,21,52,52,52,58,53,48,6.31,5.75,5.64,4.74,5.72,5.55,39.22,42.52,35.4,29.17,37.84,30.69,6.7,5.57,5.57,4.44,4.91,4.43,48.29,38.02,35.0,20.69,34.38,17.14,27,43,63,29,45,24,27.46,46.56,34.06,33.52,37.1,36.43,31,16,51,72,39,27,40.5,33.85,42.03,38.46,39.44,38.46,2021-5-4,6.78,6.8,6.77,6.9,6.71,6.87,-0.5,-0.5,0.5,0.0,-0.5,-0.5,0.07,0.07,0.1,0.15,0.24,0.22,1,2,3,4,5,6,晴,19.0,4,2.0,19.0,1.0
103,スポーツニッポンパール賞競走,5,2021-05-04,9,津,12,準優勝戦,1800,4344,4808,4466,4579,4754,4340,新田雄史,松尾拓,南佑典,中嶋健一郎,松尾充,土性雅也,20,72,19,35,17,68,41,71,54,61,48,67,6.79,6.84,6.88,6.84,6.91,6.82,1,2,3,4,5,6,0.08,0.08,0.07,0.1,0.12,0.13,109.0,,112.3,110.7,,114.0,1,5,3,2,6,4,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,1.0,1.7,1.3,5.3,4.2,1.6,1.6,7.3,18.2,9.2,3,3,2,2,10,7,4,逃げ,1,スポーツニッポンパール賞競走,5,2021-05-04,津,準優勝戦,1800,16:15,4344,4808,4466,4579,4754,4340,新田雄史,松尾拓,南佑典,中嶋健一,松尾充,土性雅也,三重,三重,三重,三重,三重,三重,A1,A1,A1,A1,A1,A2,36,32,34,31,32,36,54,50,51,52,52,54,7.56,6.4,5.74,6.49,5.47,5.46,51.22,41.67,36.61,53.33,37.8,34.15,8.08,6.56,6.2,6.33,6.29,5.97,67.86,48.59,43.48,46.26,44.9,38.54,20,72,19,35,17,68,40.98,35.62,43.75,36.91,51.41,35.61,41,71,54,61,48,67,27.5,32.35,41.6,36.76,30.66,44.35,2021-5-4,6.79,6.84,6.88,6.84,6.91,6.82,-0.5,-0.5,0.0,-0.5,-0.5,0.0,-0.05,-0.09,0.35,0.2,0.13,0.13,1,2,3,4,5,6,晴,20.0,4,2.0,19.0,1.0
104,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,1,予選,1800,3891,4863,4570,4565,3945,5130,谷口健一,三浦裕貴,前田聖文,西村豪洋,橋口真樹,上野拓馬,40,9,51,48,34,14,38,60,56,58,59,50,6.74,6.76,6.71,6.72,6.72,6.77,1,2,3,4,5,6,0.18,0.19,0.16,0.15,0.12,0.13,111.7,,112.7,109.8,113.9,,2,5,3,1,4,6,4,4,1,4-1,1-4,1-4,3-4,1-3,4-1-3,1-3-4,3.2,1.5,1.2,17.8,8.9,1.5,1.2,1.0,37.1,3.7,9,5,3,2,1,16,1,差し,1,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,常滑,予選,1800,11:05,3891,4863,4570,4565,3945,5130,谷口健一,三浦裕貴,前田聖文,西村豪洋,橋口真樹,上野拓馬,福井,東京,愛知,愛知,愛知,三重,B1,B1,A2,A2,B1,B2,45,32,33,33,45,23,55,54,54,52,50,54,3.99,4.96,5.85,5.02,4.05,1.73,15.79,29.79,39.84,30.47,15.38,2.17,2.26,4.24,5.89,5.42,4.94,1.2,0.0,14.29,40.0,34.65,25.61,0.0,40,9,51,48,34,14,32.0,33.66,38.14,26.26,23.3,34.86,38,60,56,58,59,50,33.67,30.32,38.74,37.96,30.05,38.07,2021-5-4,6.74,6.76,6.71,6.72,6.72,6.77,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,0.06,0.12,0.06,0.02,-0.02,-0.02,1,2,3,4,5,6,晴,20.0,7,3.0,18.0,2.0
105,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,8,常滑,2,予選,1800,4231,3831,3022,4483,3776,5110,鈴木裕隆,安藤裕貴,西山昇一,北野輝季,横井健太,杉山喜一,10,19,37,33,26,21,66,37,29,17,71,52,6.71,6.71,6.74,6.68,6.63,6.77,1,2,3,4,5,6,0.14,0.29,0.15,0.13,0.14,0.1,107.8,,111.7,109.4,112.2,,1,5,3,2,4,6,1,1,4,1-4,1-4,1-4,1-3,3-4,1-4-3,1-3-4,6.8,1.5,1.0,8.2,7.3,1.9,2.2,1.6,22.7,6.3,2,5,2,4,1,4,2,逃げ,1,中日スポーツ杯争奪第41回チャンピオン大会,4,2021-05-04,常滑,予選,1800,11:31,4231,3831,3022,4483,3776,5110,鈴木裕隆,安藤裕貴,西山昇一,北野輝季,横井健太,杉山喜一,愛知,愛知,愛知,愛知,愛知,静岡,B1,A2,A1,A2,B1,B1,37,46,60,32,45,21,59,53,52,53,53,52,4.62,4.93,6.47,6.48,4.75,2.39,27.27,34.38,44.09,47.37,24.3,1.11,4.34,5.1,6.28,6.28,4.62,2.59,25.0,34.48,45.87,47.62,24.21,3.45,10,19,37,33,26,21,41.9,31.68,35.64,29.17,36.26,33.33,66,37,29,17,71,52,31.35,31.47,33.89,31.12,30.89,36.08,2021-5-4,6.71,6.71,6.74,6.68,6.63,6.77,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.16,0.23,0.16,0.06,0.02,-0.01,1,2,3,4,5,6,晴,18.0,13,2.0,18.0,1.0
